Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
GBP,<6hrs,5mins,5mins,<6hrs,N/A,>4days,<6hrs,<6hrs,<48hrs,N/A,5mins,5mins,Major CCY,1-12 Hours,<24hrs
EUR,<6hrs,<30mins,<30mins,<1hr,N/A,<48hrs,<6hrs,<6hrs,<24hrs,N/A,5mins,5mins,Major CCY,<1hr,<6hrs
USD,<24hrs,<6hrs,1-12 Hours,1-12 Hours,N/A,Three Days,1-12 Hours,<24hrs,<48hrs,N/A,5mins,5mins,Major CCY,1-12 Hours,<24hrs
CAD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<48hrs,<48hrs,<48hrs,<48hrs,N/A,5mins,5mins,Major CCY,<24hrs,<24hrs
AUD,<1hr,5mins,<30mins,<1hr,N/A,<48hrs,<30mins,<6hrs,<24hrs,N/A,5mins,5mins,Major CCY,<24hrs,<24hrs
NZD,<6hrs,5mins,<6hrs,1-12 Hours,N/A,<48hrs,<30mins,<24hrs,<48hrs,N/A,5mins,5mins,Major CCY,<24hrs,<48hrs
AED,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<1hr,<6hrs
ARS,<3 days,<3 days,<30mins,<6hrs,N/A,<4days,<4days,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
ARS,24hrs,24hrs,<30mins,<6hrs,N/A,24hrs,24hrs,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
BAM,<3 days,<3 days,<30mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
BAM,24hrs,24hrs,<30mins,24hrs,N/A,24hrs,24hrs,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
BBD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
BDT,<48hrs,<30mins,<30mins,<6hrs,N/A,>4days,<24hrs,<24hrs,>4days,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
BDT,<48hrs,<30mins,<30mins,<6hrs,N/A,>4days,<24hrs,<24hrs,>4days,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
BGN,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
BGN,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
BHD,<24hrs,<24hrs,<48hrs,<48hrs,N/A,<48 hrs,<48 hrs,Three Days,Three Days,N/A,5mins,5mins,Standard CCY,<48hrs,<48hrs
BOB,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
BOB,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
BRL,<3 days,<30mins,<30mins,<6hrs,N/A,<4days,<30mins,<1hr,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
BRL,2hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<1hr,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
BTN,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
BTN,24hrs,24hrs,24hrs,24hrs,N/A,24hrs,24hrs,24hrs,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
CHF,<24hrs,<6hrs,<30mins,1-12 Hours,N/A,<48hrs,1-12 Hours,<1hr,<24hrs,N/A,5mins,5mins,Standard CCY,1-12 Hours,1-12 Hours
CLP,<6hrs,<3 days,<30mins,<1hr,N/A,1-12 Hours,<4days,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<1hr,<6hrs
CLP,<6hrs,>5-<60minutes,<30mins,<1hr,N/A,1-12 Hours,>5-<60minutes,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<1hr,<6hrs
COP,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
COP,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
CRC,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
