Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
GBP,<30mins,5mins,5mins,<30mins,N/A,<30mins,<30mins,<30mins,<30mins,N/A,5mins,5mins,Major CCY,5mins,<30mins
EUR,<6hrs,<30mins,<30mins,<1hr,N/A,<24hrs,<6hrs,<6hrs,<24hrs,N/A,5mins,5mins,Major CCY,5mins,<24hrs
USD,Same Day,<6hrs,1-12 Hours,1-12 Hours,N/A,<24hrs,1-12 Hours,<24hrs,<24hrs,N/A,5mins,5mins,Major CCY,5mins,<24hrs
CAD,Same Day,Same Day,Same Day,Same Day,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Major CCY,5mins,<24hrs
AUD,<1hr,5mins,<30mins,<1hr,N/A,<48 hrs,<30mins,<6hrs,<24hrs,N/A,5mins,5mins,Major CCY,5mins,<48 hrs
NZD,<6hrs,5mins,<6hrs,1-12 Hours,N/A,<24hrs,<30mins,<24hrs,<24hrs,N/A,5mins,5mins,Major CCY,5mins,<24hrs
AED,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
ARS,<3 days,<3 days,<30mins,<6hrs,N/A,<4days,<4days,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
ARS,24hrs,24hrs,<30mins,<6hrs,N/A,24hrs,24hrs,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
BAM,<3 days,<3 days,<30mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
BAM,24hrs,24hrs,<30mins,24hrs,N/A,24hrs,24hrs,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
BBD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
BDT,<48hrs,<30mins,<30mins,<6hrs,N/A,<4days,<24hrs,<24hrs,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
BDT,<48hrs,<30mins,<30mins,<6hrs,N/A,<48hrs,<24hrs,<24hrs,<48hrs,N/A,5mins,5mins,Ria CCY,5mins,<48hrs
