Section,Category,Sub-Category,Volume,Completed,Completion %,Median (hrs),Avg (hrs),% within 1h,% within 6h,% within 1d,% within 3d,% within 7d
Overall,All,,81231,76258,93.9,1.6,31.2,47.2,57.6,69,80.5,98.7
Payment Method,debit,,27003,26177,96.9,0.2,4,86.3,90.4,94.9,99.2,99.8
Payment Method,bank_account,,26705,24870,93.1,5.2,19.7,28.1,51.8,77.5,94.4,99
Payment Method,direct_debit,,19475,17214,88.4,113,103.3,0.7,2,4.6,21.2,95.9
Payment Method,open_banking,,6750,6555,97.1,0.7,9.2,64.6,76.7,88.2,98,99.7
Payment Method,credit,,4435,4286,96.6,0.2,3.9,87,90.8,95.2,99.1,99.8
Payment Method,balance,,820,615,75,0.9,12.1,53,72.8,87,95.6,99.2
Payout Method,Bank,,75905,71476,94.2,2.3,32.4,44.7,55.6,67.7,79.6,98.7
Payout Method,Cash,,3702,3493,94.4,0.2,8.6,86.7,90,91.4,94.6,99.5
Payout Method,Wallet,,1701,1429,84,0.2,7.4,86.5,89.9,91.3,95.9,99.7
Send Currency,USD,,24895,22088,88.7,74.9,72.1,24,28.1,32.9,47.4,96.8
Send Currency,GBP,,23845,23361,98,0.3,7.2,72.7,81.5,91.4,98.5,99.8
Send Currency,EUR,,13521,13031,96.4,0.7,11.8,61.4,72.3,84.8,96.8,99.6
Send Currency,AUD,,9386,9019,96.1,3.8,15.8,39.6,56.5,81,96.2,99.2
Send Currency,CAD,,6103,5456,89.4,22.5,51,24.3,36.3,50.9,62.9,98.5
Send Currency,NZD,,3342,3223,96.4,2.1,11.7,23.6,69.1,89,97.2,99.3
Send Currency,SEK,,222,182,82,17.4,34.7,21.4,29.7,58.2,85.7,97.8
Send Currency,DKK,,150,139,92.7,0.2,5.9,85.6,87.1,92.1,98.6,100
Send Currency,CHF,,128,114,89.1,8.2,23.7,37.7,47.4,71.9,92.1,99.1
Send Currency,AED,,126,94,74.6,11.8,22.3,21.3,38.3,66,91.5,100
Send Currency,NOK,,86,74,86,15,27.4,39.2,44.6,58.1,89.2,100
Send Currency,PLN,,56,46,82.1,33.6,43.9,13,17.4,41.3,87,97.8
Send Currency,QAR,,21,7,33.3,70.2,55.4,0,0,28.6,71.4,100
Send Currency,JPY,,21,19,90.5,34.7,60.7,21.1,31.6,36.8,73.7,89.5
Send Currency,HKD,,14,8,57.1,36.3,51.4,12.5,12.5,25,87.5,87.5
Send Currency,SGD,,13,11,84.6,23,40.4,18.2,27.3,63.6,81.8,100
Send Currency,HUF,,13,10,76.9,25.1,45.7,10,50,50,70,100
Send Currency,CZK,,11,9,81.8,12.5,16.5,11.1,33.3,66.7,100,100
Send Currency,RON,,10,6,60,14,17.7,33.3,33.3,83.3,100,100
Send Currency,MYR,,9,9,100,38.7,40.8,11.1,11.1,22.2,88.9,100
Payout Currency,INR,,21155,19895,94,7.6,48.9,42.4,49.4,54.9,65.9,97
Payout Currency,EUR,,13733,13129,95.6,0.6,20.6,57.5,67.3,78.5,88.4,99.1
